Name,id_Number,row_Number,seat_Number,auditorium_Number
Alan Mejia,15584200102209484,24,32,5
Alan Riggs,11445197112275085,57,34,1
Alan Roorda,86975200303192465,53,8,1
Alan Rosenbeck,26282197011291965,41,60,4
Alan Snider,93846201208179423,19,43,3
Alan Torbus,48020196801273171,36,29,6
Alan Turnbow,92460196404211474,30,28,5
Alan Welch,58589200707165750,27,22,3
Alana Lopez,69714193408087337,61,23,4
Alana Smith,72575197902269000,58,32,6
Alanna Sharp,29147198303142715,52,14,4
Albert Anthony,80930201909112724,18,62,5
Albert Bailey,95196199812242895,43,34,4
Albert Borrego,71877202005268066,39,24,6
Albert Briney,41989200711281609,10,49,3
Albert Bryant,95918197301044291,35,48,6
Albert Carl,32375199407191091,52,41,6
Albert Carter,13403195904261574,46,20,3
Albert Collins,80572194402276272,45,16,3
Albert Delarosa,40457200401273317,57,3,6
Albert Delgado,22765198707307872,31,17,1
Albert Gibbon,88374200411267487,33,53,4
Albert Graham,87555199512098086,58,33,4
Albert Lafountain,32022193110245842,17,45,6
Albert Marcus,40133199008218471,11,53,2
Albert Marcy,26725200612132805,5,1,2
Albert Martin,15371197006307594,50,33,5
Albert Martin,89032197605079445,26,56,4
Albert Mcbean,51263199604288500,5,36,3
Albert Papadopoulos,44686201102119084,6,37,1
Albert Peredo,47419197801177464,27,56,6
Albert Ramos,80010198510019256,32,4,6
Albert Richter,38257202003188238,16,58,4
Albert Sanchez,44637199708208208,14,36,2
Albert Son,71905201509196747,36,7,1
Albert Storck,67712199511213236,12,64,4
Albert Sutch,96329193207107087,32,36,3
Albert Swelgart,67551198005122586,10,37,1
Albert Vignola,73559199512304568,14,11,5
Albert Warren,51374196010195838,28,42,5
Albert Winstead,45154199705088737,54,2,4
Albert Wu,82750200912238415,27,5,1
Alberta Eckhard,19340198711237354,26,55,2
Alberta Flint,69702194401291015,41,28,1
Alberta Hellinger,56231199001084635,21,56,3
Alberta Hornung,18645193208139412,27,5,2
Alberta Horton,46411194510246652,39,29,2
Alberta Janssen,60059198703172415,56,31,1
Alberta Meador,61648200701068066,8,35,1
Alberta Meyer,25426199311064822,27,8,5
Alberta Myers,45160195101188476,20,43,1
Alberta Osborne,46519197109304553,44,36,3
Alberta Ramirez,46984201906158702,6,44,1
Alberta Reese,35442198612184245,30,10,5
Albertina Grudem,70951195603312515,61,41,2
Alberto Bright,14109194011122891,6,20,5
Alberto Ertz,56276196102149358,33,55,5
Alberto Potter,82599196703275400,25,17,1
Alberto Shows,86554197308081371,27,59,2
Alberto Troutman,16890196708165637,58,55,6
Alberto Williams,44412193803055322,49,27,3
Alda Chon,39158194812152298,3,10,5
Alden Hobson,44687196006107838,20,13,4
Aleisha Wietzel,43008198112198660,53,42,3
Alejandra Chapman,14624198412259926,52,12,1
Alejandro Navarro,41330200507144591,21,36,5
Alejandro Ortega,28428198812138627,29,47,3
Alena Fox,84510195805026471,56,21,2
Alene Alfonso,93083201607114595,21,16,6
Alesia Riley,23284196110103202,39,18,1
Alethia Cox,40413200104105642,8,31,5
Alethia Rollison,55394196610041385,55,8,1
Alex Baker,16814196706193705,20,31,6
Alex Barnes,58134194911183183,40,3,1
Alex Hill,99839193906278108,24,44,5
Alex Howe,13896200005019975,5,3,2
Alex Lindelof,49906196206064667,25,49,3
Alex Locke,61694198412038069,52,46,4
Alex Maselli,39693200109071001,33,42,4
Alex Mecham,80168193708237054,45,45,5
Alex Murphy,36454193706112322,46,52,5
Alex Ricks,52209201101307299,57,8,1
Alex Ruivo,96615195906061816,58,46,4
Alex Skutt,51777199104294088,29,23,2
Alex Smith,45248195910187063,2,41,1
Alex Vaughn,62302197004178635,20,50,6
Alexander Dusek,66290195802027981,28,31,1
Alexander Gallegos,68539196008288532,12,51,4
Alexander Gayton,77002200103283702,14,20,5
Alexander Green,24200201001225761,61,21,4
Alexander Josey,29739199806118951,49,1,3
Alexander Labranche,56186201706164394,36,37,2
Alexander Martinez,91425200003104215,40,28,2
Alexander Morgan,42625198906062529,49,60,4
Alexander Sanders,73229197305301059,4,28,2
Alexander Smith,67720194007017971,8,47,4
Alexander Tierney,88386196703271052,5,16,1
Alexander Wagner,79062197508308270,53,8,2
Alexander Wollschlager,48489193606144368,46,29,6
Alexandra Hall,93954194409266976,28,53,3
Alexandra Katt,49810193503285869,45,54,2
Alexandra Mangham,51038201302133656,25,57,3
Alexandra Palos,24877195602028953,48,40,4
Alexandra Santana,74178200606063449,24,15,1
Alexandra Williams,34460198909308710,5,25,3
Alexis Baker,99498199511265149,3,11,3
Alexis Baum,40238195910092965,30,28,2
Alexis Johnson,41337194508054582,12,61,4
Alexis Windley,15089196509095362,54,36,6
Alfonso Sessoms,40809198611025307,15,42,6
Alfonzo Driver,30581201903111075,17,61,5
Alfred Barnes,76866197907227647,28,58,5
Alfred Burgess,24687195107197756,7,16,4
Alfred Davis,78679194908038394,31,23,4
Alfred Griffin,17563197709145042,22,42,1
Alfred Justus,73622201306169839,3,32,6
Alfred Mcgrath,18021198705178471,24,2,2
Alfred Montgomery,86626195308276293,4,45,1
Alfred Potter,28652193410187660,64,29,2
Alfred Poulin,25228194212279879,23,53,5
Alfred Queen,52641201601081771,19,5,3
Alfred Singer,27965199701252322,16,37,5
Alfred Sonoski,24247199004199528,24,45,4
Alfred Stevenson,25154199901036018,20,28,3
Alfred Taylor,75216198904091491,4,49,6
Alfred Viola,84501195204011525,14,53,2
Alfred Waldvogel,29521198607056054,1,22,3
Alfred Young,25467193108159613,20,47,2
Alfreda Goetz,79175193406083609,29,55,4
Alfredo Johnson,74156201708173739,17,12,3
Alfredo Johnson,63205193105229948,35,4,2
Ali Dohse,22592197806096685,46,49,6
Ali Glory,90236194301315503,3,56,6
Alice Anderson,68073199912124086,32,19,1
Alice Baker,87639194811058750,55,12,4
Alice Bambeck,31063197205256840,29,43,1
Alice Barrientos,57234197802087371,38,42,4
Alice Cargle,82130198505126482,41,17,2
Alice Dean,35677195607212708,4,36,1
Alice Dubois,59420198105228360,34,35,2
Alice Dukes,54074197706054829,55,45,1
Alice Ellis,97275200203223982,22,27,6
Alice Elmquist,71482195008077758,4,33,1
Alice Fatula,46706193803261477,32,45,5
Alice Galinis,36357193112144088,23,44,2
Alice Holland,14350195503212329,39,9,2
Alice Jenkins,11752197210097262,2,25,5
Alice Keane,50060201402089583,8,31,6
Alice Keith,87156194003043209,38,52,3
Alice Kelley,53479196104139051,59,56,3
Alice Laplante,45428193604191805,44,2,1
Alice Lapuerta,91420194206194053,40,27,2
Alice Lever,35962199005149661,40,57,3
Alice Martinez,89701193008278125,5,56,3
Alice Mcbride,13439194406136647,38,16,5
Alice Midgett,29289195407196762,47,39,1
Alice Moreton,70352193010127875,28,4,4
Alice Nixon,79815194808295994,50,62,2
Alice Ortega,60456200311146152,48,6,6
Alice Perkins,22295194906061200,36,46,5
Alice Reif,53362201508152286,60,21,3
Alice Rood,45830193205078878,15,29,6
Alice Shockley,90196200106308493,31,21,6
Alice Spina,28990200708318033,44,38,3
Alice Storey,95242196412147061,26,24,3
Alice Weiss,11026200301137842,7,14,2
Alice West,38497198210301626,35,39,6
Alice Wilson,62891198006063419,13,45,1
Alicia Benitez,98291193009024813,11,9,4
Alicia Branch,57890196607199770,46,34,2
Alicia Brooke,44233193301252666,40,46,5
Alicia Coke,17136197410157102,29,56,5
Alicia Duguay,71890194210132709,39,47,4
Alicia Fernandez,86105195508275256,22,36,6
Alicia Fresh,16252194007258139,3,1,6
Alicia Harmon,86611195701096356,40,7,4
Alicia Larsen,15400198207145854,38,6,3
Alicia Murdoch,80718198309096118,10,9,3
Alicia Payne,36605201212142807,7,34,6
Alicia Scott,47766196711231603,24,16,5
Alicia Sloat,20152200410169319,22,30,6
Alicia Smith,70535201510041833,35,9,6
Alicia Starling,87868200712178202,11,9,2
Alicia Tanner,36797194605293548,36,17,2
Alida Sphon,26945195203076951,56,33,3
Alina Carley,40824199405096283,3,38,2
Aline Moore,96441195505223626,22,46,6
Alisa Stack,42111196401126216,39,38,2
Alisa Stinser,47281199607094186,13,7,1
Alisha Cleary,51635197705217707,1,5,4
Alisha Issa,65589200601013935,8,11,3
Alisha Mcculley,96433198611152977,15,47,6
Alisha Meigs,19837195308077988,27,39,3
Alison Davis,56250195006232771,22,47,4
Alison Sauer,87444197705204017,49,6,2
Alison Stewart,92787198509206352,16,29,2
Alison Williams,88131197311066966,46,31,3
Alissa Deshong,50886200310216175,16,1,5
Alissa Metts,79628200405196447,39,32,3
Alissa Posner,68367197508018691,23,48,6
Alix Cox,57525196311111145,23,63,4
Allan Allred,21923199606083895,28,36,4
Allan Bennett,33474199111112211,19,57,5
Allan Daley,56221201902064778,38,30,2
Allan Lockard,82216200110044029,43,51,2
Allan Main,65866194206014643,57,51,6
Allan Mcneil,30552198801166146,40,17,4
Allan Tecuanhuey,40878197002094486,15,6,3
Allen Ali,61755196205119221,61,50,3
Allen Belk,34302197610014116,17,36,6
Allen Blocker,35058199406057162,1,44,4
Allen Crabb,81875196807105480,37,27,2
Allen Craig,50718197307023875,27,40,5
Allen Custodio,77040201812151081,20,28,1
Allen Flood,94565201107187277,38,3,1
Allen Foster,86497195606291207,53,11,6
Allen Gall,82922193103138957,13,50,2
Allen Gustin,20097200405266868,60,59,4
Allen Haywood,41520195810117662,31,28,4
Allen Moses,39502198404225422,56,59,2
Allen Murray,54943200904159567,32,29,3
Allen Plank,16988198301161355,1,30,4
Allen Sears,38957193206024627,22,56,2
Allen Sullivan,36151197105223899,30,26,2
Allena Flahive,45780194712181234,62,51,4
Allene Boggs,21550194907174364,26,54,3
Allison Bickel,71258196603141401,22,24,4
Allison Cozart,74636196012138716,4,30,1
Allison Harris,43332195902223394,26,15,4
Allison Kempson,66992200906309333,21,25,2
Allison Lee,51564196405186047,13,22,3
Allison Mitchell,28930195707259672,19,44,6
Allison Morehead,76388199811215013,24,14,1
Allison Picard,28135195611115643,59,20,2
Allison Primus,72379196603123690,56,28,6
Allison Qualls,90991201609221483,6,57,3
Allison Stafford,82043200301173512,47,38,4
Allison Wordlaw,64976196308259462,44,38,1
Alma Andrews,26214199106241386,54,12,3
Alma Bond,66563201205063486,58,39,2
Alma Buerger,46986196810186491,30,34,1
Alma Cooper,20106197205293142,1,35,2
Alma Cuevas,26895195506169513,49,29,1
Alma Frazer,77040196211258704,51,20,1
Alma Lorenzo,91496199310283213,47,56,4
Alma Muir,71514201908021499,17,37,1
Alma Trent,44744195312042395,61,44,4
Alonzo Washington,69633196911011593,46,3,2
Alphonse Sturges,93796194403111352,32,23,4
Alta Huskin,77560194609097466,8,15,4
Alta Rodriguez,99207194802272444,27,1,4
Alta Savage,61678196102182524,34,35,6
Althea Ponzi,23111199305295075,10,9,5
Alton Litzenberg,25015197904163812,43,50,3
Alva England,28887197109237769,51,31,4
Alva Henderson,23175193212275596,35,32,4
Alvaro Simpson,35757196503153720,18,59,5
Alvin Bolduc,49535194907191984,48,31,2
Alvin Clark,37311193506177165,27,13,5
Alvin Harmon,82886198909196400,1,13,2
Alvin Higbee,38896195008255189,60,39,6
Alvin Leblanc,68483202005175201,19,31,6
Alvin Mays,76281199906293986,18,59,2
Alvin Miceli,77613193808084823,52,9,1
Alvin Miller,62688197402087269,14,7,1
Alvin Skimehorn,44198196810031436,59,20,3
Alvin Smith,58905199809198401,38,15,6
Alvin Tucker,33036195611263564,14,37,2
Alvin Young,54709201502214872,13,29,2
Alyce Mills,58289197211198976,20,14,1
Alysa Crim,96547196403288722,19,32,6
Alyssa Allain,64621195605198482,21,44,2
Alyssa Blake,22128193611212859,29,37,3
Alyssa Colburn,33298193304251630,12,26,3
Alyssa Groom,19112198902197521,56,39,2
Alyssa Johnson,96635197704197347,20,8,5
Alyssa Still,65750193304179036,5,42,6
Amal Whitley,91561196602051614,52,34,2
Amanda Akers,37021198203102260,45,43,2
Amanda Anderson,82443200106185722,6,6,4
Amanda Barajas,79192201310186778,43,26,5
Amanda Belvins,94119199311206798,33,37,1
Amanda Brown,31032197307145906,14,36,4
Amanda Cleary,84321199212187079,10,30,2
Amanda Cohen,67477193704244486,38,41,1
Amanda Coker,15458201010277209,39,23,1
Amanda Dansby,35753200910115718,60,20,6
Amanda Ennenga,44036199510297626,61,19,3
Amanda Floyd,39816195607078281,15,47,3
Amanda Garcia,22582197208305844,3,52,5
Amanda Guy,30112196912176098,14,5,3
Amanda Isenhart,39644193405084446,26,58,5
Amanda Jimenez,95133200408156003,24,18,6
Amanda Johnson,88885201304242620,34,45,5
Amanda Jordan,11637195506273358,20,19,6
Amanda Mandell,52996195507317286,5,16,4
Amanda Moore,36423196708083149,3,55,4
Amanda Patterson,96120198812169759,38,28,1
Amanda Rich,19964198806309071,64,51,2
Amanda Sarvas,67332199905156304,50,56,5
Amanda Sheston,14558193109134661,16,37,1
Amanda Smith,71541197306074468,53,31,3
Amanda Smith,79758200103037467,22,13,3
Amanda Steinberg,72011193511076965,45,20,1
Amanda Swift,13447198809116746,25,19,5
Amanda Thompson,66792193905066256,53,5,6
Amanda Wells,62542199612313163,36,1,1
Amanda Whitman,84437199609086096,22,20,5
Amanda Wolfe,20084196011118388,27,25,6
Amanda Wong,57094201811114167,48,6,1
Amber Beavers,60243198711048294,46,54,6
Amber Bishop,39565198011121631,16,4,6
Amber Bonham,79188198810034670,22,48,3
Amber Burns,88395193007144254,44,2,6
Amber Childs,58860197902145625,7,10,4
Amber Hammond,91682195203255473,43,28,1
Amber Johnston,41379193305078694,40,52,2
Amber Lara,84692197107138104,10,21,4
Amber Mallett,40182196401077670,18,48,3
Amber Patterson,27250198501258742,19,62,4
Amber Porter,32288198908025858,33,41,4
Amber Sickler,69662194301189010,8,33,4
Amber Stark,27426200011172313,29,40,6
Amber Williams,79936201706127001,43,23,5
Amber Zickefoose,34602199901141721,3,44,5
Amelia Bermudez,72693199806015718,12,56,6
Amelia Kennedy,74549194310287258,18,7,4
America Berg,84439195005191018,7,12,5
Amie Cantwell,32030200910257033,29,1,1
Amie Harms,60655194411171586,13,32,5
Amos Killinger,69353195604148781,6,14,5
Amos Oldham,44388196212198059,58,51,3
Amy Allen,79934194905219846,33,9,4
Amy Baker,66969196212311035,9,20,4
Amy Bartholomew,23532201306255862,15,42,4
Amy Boock,54264195603268628,31,24,1
Amy Boucher,68626196104091129,43,15,4
Amy Callahan,45733194409238889,16,15,6
Amy Chevalier,43328198312259570,33,10,4
Amy Crum,38838201504141604,13,1,4
Amy Dales,96916194108197120,9,46,2
Amy Douds,29611193312233123,52,35,3
Amy Ellis,39160194105218777,34,42,2
Amy Frost,62762199009232563,32,38,4
Amy Goldberg,88506198606259534,62,41,4
Amy Gourley,16139198603027015,5,26,5
Amy Green,71081193207313604,57,32,4
Amy Guthrie,44304200505095708,33,55,3
Amy Heer,48854201610151050,6,20,6
Amy Jackson,52857196707193646,43,63,4
Amy Janssen,99546196903144762,60,25,4
Amy Johnson,77981193607098632,57,41,4
Amy Jones,39273193003208050,21,6,6
Amy Katz,22409196302237247,50,18,5
Amy King,10781201201051092,38,33,2
Amy Lerma,34911199904149609,38,21,3
Amy Lozano,67869200603029230,28,62,4
Amy Mansfield,62247196903111593,31,32,1
Amy Mudget,70334202004037384,41,5,3
Amy Munson,66622201612221429,21,14,2
Amy Oneill,74041194307033401,22,51,2
Amy Otto,60475194407046556,1,3,4
Amy Palmer,77057199908023082,4,9,4
Amy Poindexter,10779196410233203,20,57,2
Amy Porter,72434193401141789,60,27,4
Amy Quero,84636201002027808,20,25,4
Amy Ray,94317193812283401,16,41,3
Amy Shape,77754200502075161,8,31,2
Amy Steenken,83950195711193913,39,15,6
Amy Tardif,97024194610217430,58,8,2
Amy Torbus,79609198902266869,28,2,5
Amy Toy,48968196706208546,56,30,6
Amy Valdez,42909193505083067,7,3,2
Amy Watt,14679195907097266,30,20,6
Amy Weber,86365199706255746,10,24,6
Amy White,88458193205096512,47,24,4
Amy Wiley,78753197905166359,40,4,5
Amy Wilson,37236193503183994,14,28,1
Amy Yanez,48228193204093746,8,27,3
Ana Bonin,41641193108263960,24,58,2
Ana Cadena,84988200005208040,45,39,1
Ana Hall,83268193205031469,41,32,6
Ana Hernandez,19152201504165520,4,53,5
Ana Loree,89970194203251247,17,27,1
Ana Losh,47742196210024762,3,16,2
Ana May,79798196004197474,40,1,5
Ana Smalley,71966195611089209,21,12,2
Ana Viens,12594197705046103,44,10,4
Ana Weber,35294193101198359,45,52,2
Anabel Butler,78196201202289470,7,50,5
Anastacia Souers,84687193710227363,6,27,2
Andera Dodson,82582193008187848,7,33,4
Andera Meeker,48686198708175069,28,47,3
Andera Sullivan,73384194811272313,26,22,1
Anderson Rice,31975200103258070,52,37,1
Anderson Smith,13679199411084788,12,26,5
Andre Aguilar,36104200502205081,5,13,6
Andre Byrd,79223197808225408,42,39,5
Andre Cordell,12719194804115855,25,22,3
Andre Culp,43207201112061042,18,14,2
Andre Everson,63422201809161923,7,35,5
Andre Gentes,19649201009261951,27,17,2
Andre Gleeson,82734201609165843,33,19,6
Andre Lee,10659197208278855,49,8,1
Andre Lupo,44025201705132283,49,19,1
Andre Moore,11046195808032097,36,52,4
Andre Nickerson,17596195306036985,4,48,6
Andre Warren,67913201701069876,29,12,4
Andrea Arnold,21962196601184989,64,6,2
Andrea Boone,67567201211077742,18,39,3
Andrea Brown,88051195709046273,15,4,1
Andrea Calle,14081194207141408,56,1,6
Andrea Clark,62114201601085711,6,22,1
Andrea Duffy,39033198206309704,48,2,3
Andrea Foster,33550194512185409,19,39,4
Andrea Gaucin,14938198412029655,37,8,3
Andrea Gillis,80636195002077818,28,13,5
Andrea Glenn,59123197802128718,41,50,2
Andrea Goodwin,29294199007169481,7,18,4
Andrea Gorman,47885196111283529,25,59,4
Andrea Grantham,72263199210114691,26,58,4
Andrea Harsh,27502193109299970,46,12,2
Andrea Herrington,26339195801254716,42,22,1
Andrea Johnson,68144198703125956,9,12,3
Andrea Kenyon,93275193001243470,19,13,4
Andrea Kozak,89461201308028809,25,24,2
Andrea Moses,62359201204203458,33,5,3
Andrea Overman,15511199207051281,12,15,6
Andrea Parker,87872201103292491,38,19,2
Andrea Pirtle,58566195002283029,24,12,2
Andrea Shea,67540193112265561,29,64,4
Andrea Smith,90410196908054582,27,37,5
Andrea Stein,91984201702218743,56,3,6
Andrea Suzuki,92184196712299801,55,36,6
Andrea Tamm,39844194307084868,5,32,4
Andrea Walker,66528193809155405,21,5,6
Andreas Sanmiguel,54408198212274739,63,38,3
Andres Cook,48975200012276724,11,39,4
Andres Pharr,73560199909254612,23,9,5
Andrew Alexander,78780201504222771,5,15,4
Andrew Bagshaw,65320201804279107,25,22,4
Andrew Barnett,39226197704187588,31,11,5
Andrew Bellew,38734193103244277,52,55,3
Andrew Blount,79786196412304359,61,13,2
Andrew Bowen,66653198110164039,41,38,3
Andrew Brotherson,95802198508065216,16,19,3
Andrew Bush,50672198412044339,40,34,6
Andrew Bush,77839196901207150,42,38,1
Andrew Carter,68863201602061967,43,9,6
Andrew Chambers,13368201010034629,63,52,3
Andrew Chapman,97415201011021919,6,35,6
Andrew Clark,64361198309211505,33,39,1
Andrew Coombe,97643194109052578,43,38,2
Andrew Cruise,74085193610294800,8,13,5
Andrew Cummins,42113198701161259,41,34,4
Andrew Dawson,69371201809084681,18,13,4
Andrew Drake,86415195004212597,35,41,5
Andrew Duvall,57120195706027796,44,39,6
Andrew Escobedo,64401194410014563,30,41,6
Andrew Fischer,64178194811215272,5,16,2
Andrew Ford,75509194710031376,55,31,3
Andrew Foster,35845193212079190,5,29,5
Andrew Foster,26130198609271026,35,40,3
Andrew Gehl,74191193907102353,51,20,2
Andrew Gilbert,46876193709212751,6,43,4
Andrew Guzman,50130194009116109,44,5,6
Andrew Hales,43118193506038912,35,23,3
Andrew Hall,69037193706202318,33,29,6
Andrew Hannah,52835200505073399,16,57,2
Andrew Hawkins,46791197010011817,22,27,2
Andrew Holthaus,61580196706194962,42,8,6
Andrew Holton,47075195112066299,60,23,3
Andrew Iversen,95308194807033236,14,41,5
Andrew Jackson,38598199003183226,39,55,5
Andrew Jackson,37939193710081560,21,9,6
Andrew Kalar,89827196905188446,40,10,5
Andrew Lucas,46507198201106500,63,45,2
Andrew Lucero,89666193512319671,20,53,3
Andrew Maldonado,79230199008192068,36,32,5
Andrew Martin,16517195104293065,23,42,5
Andrew Mcmurray,24389199803083579,28,39,4
Andrew Mendez,95612198409302783,21,27,5
Andrew Merz,34145193206068315,3,20,5
Andrew Muller,87542195903128986,55,2,6
Andrew Munoz,39068195007092767,55,35,3
Andrew Orth,71341197004025982,23,18,5
Andrew Pounds,60142199507162927,47,42,3
Andrew Priest,20292200008251080,1,55,2
Andrew Ray,69994197901311200,39,20,5
Andrew Robinson,51891197301106053,32,23,5
Andrew Rosales,37268196007072197,47,54,2
Andrew Ruhl,84893193704243301,14,46,6
Andrew Scharfenberg,79977194508183190,2,27,3
Andrew Siemens,77504193707159092,49,37,3
Andrew Stender,97171194702148676,56,5,6
Andrew Thurlow,61112200012192881,33,7,4
Andrew Torpey,11736196902164463,3,27,3
Andrew Torres,85086195610265805,50,35,4
Andrew Voeltner,71330198301014757,49,17,5
Andrew Wiles,90052200605143504,35,44,5
Andrew Woods,36828200502249617,2,13,6
Andrew Zima,10865198308204842,20,52,2
Andy Borden,70618195803202868,27,59,5
Andy Bush,69837194711199963,33,15,2
Andy Fruge,71843197603108328,23,44,4
Andy Steele,27495201102225434,56,59,4
Andy Williams,22722198611069295,9,55,3
Angel Alexander,43873195603217323,36,60,4
Angel Arellano,18755198203174258,12,5,2
Angel Difilippo,67307199803024134,26,9,1
Angel Fisher,95463199512023061,20,10,2
Angel Hancock,13492195104182556,41,61,2
Angel Hawthorne,98350194811058966,33,49,2
Angel Jones,88993196712173489,55,33,6
Angel Lujan,58328196306061623,58,23,1
Angel Morrison,68181199101319923,44,3,2
Angel Pitcherello,71235201306246327,50,31,5
Angel Reichmann,79055196009228604,21,22,4
Angel Sheridan,40003193010023171,15,52,4
Angel Walker,51280197502228478,6,38,6
Angela Blue,11458201107294466,33,55,6
Angela Brown,48442196411255659,14,24,2
Angela Carroll,66770197511098244,23,9,2
Angela Davila,77254201902234404,10,58,4
Angela Dejackome,99979200610145715,58,32,1
