Name,id_Number,gender,height_cm,weight_kg
Adam Lovisone,40526199202078753,Male,181,55
Adam Mayo,94593197608168704,Female,163,115
Adam Phillips,95501200501164071,Female,150,86
Adam Rau,48387197812164428,Female,160,110
Adam Rivero,75443194902172808,Male,195,73
Adam Rodriguez,85254197703027424,Female,185,89
Adam Santillan,19630198310151209,Female,191,114
Adam Showers,41026196603097586,Male,219,60
Adam Shufelt,85367193709105339,Female,165,78
Adam Smiley,94704201711087529,Female,206,117
Adam Smith,43424197705066323,Female,183,94
Adam Stephens,97831199306226406,Female,219,81
Adam Sterling,67120193906129171,Female,207,54
Adam Triffo,37261192610044263,Female,170,108
Adam Withrow,84903199412107373,Male,205,80
Adan Dills,43581201611294204,Female,206,87
Adan Maclean,10570199212063737,Female,150,72
Addie Pfost,43387196212059489,Female,156,85
Addie Zody,90744197007282110,Male,187,108
Adelaide Courser,58729195602134310,Female,210,76
Adelaide Courser,30828200310041540,Female,190,68
Adele Lynch,83124200211129202,Female,174,71
Adele Lynch,61851194601207145,Female,205,66
Adele Moore,39610196205261749,Female,185,63
Adele Newsome,94516196507108821,Female,219,91
Adeline Hughes,75874195001109409,Male,204,77
Adeline Imlay,63919201503282952,Female,203,114
Adell Koh,50992201102208542,Male,193,95
Adina Astorga,79831199701227839,Male,218,86
Adina Brinkman,52624195311309268,Female,156,61
Adolfo Lamm,83841201201257653,Female,165,69
Adolfo Pickett,45695196605302708,Male,184,58
Adolfo Pickett,79584199002042010,Female,190,101
Adrian Brown,61970201802227772,Male,194,49
Adrian Lobue,98694198401213709,Male,179,47
Adrian Morrison,63480200611131201,Female,202,58
Adrian Stevens,31800201010023442,Female,197,104
Adrian Washington,15036197009217551,Female,191,101
Adriana Cook,42570196107138945,Female,159,91
Adriana Mara,61623199404054926,Male,204,110
Adriana Preston,40938201402128738,Male,217,67
Adriana Preston,40415201909167478,Male,158,56
Adriana Schaffner,57554193106267474,Female,185,85
Adriana Smith,50784193008222180,Female,213,88
Adriana Smith,76748195209283166,Female,181,100
Adriana Temple,11555198412118936,Female,178,58
Adriana Williams,49420193405296526,Male,201,104
Adrianna Drake,58693193205283334,Male,211,112
Adrianna Drake,46080199106021143,Male,185,100
Adrianna Hudson,21453199903179222,Female,205,88
Adrienne Allen,79130196712299363,Male,199,50
Adrienne Ayers,32828201710222442,Male,168,64
Adrienne Moore,62753195909199507,Male,173,68
Adrienne Ramsey,64313196204014096,Female,151,59
Adrienne Ramsey,56528197009243045,Female,201,79
Agnes Adams,12846196105083481,Female,180,74
Agnes Doll,27866193405261948,Female,204,69
Agnes Dove,57890195205121900,Male,204,78
Agnes Estrada,55632197212052326,Female,160,110
Agnes Evans,47652196402252596,Female,217,67
Agnes Evans,99574201604172357,Male,218,65
Agnes Hunter,64826193806228455,Female,219,92
Agnes Johnson,99234201905258170,Male,168,106
Agnes Jones,27105193312314726,Female,161,113
Agnes Jones,37174195111083268,Female,173,61
Agnes Juett,76294193608253395,Female,182,113
Agnes Martinez,77812193801275259,Male,161,96
Agnes Payne,56851199509146116,Female,214,118
Agnes Sills,19100195801011254,Female,200,74
Agnes Sims,69682195601025388,Male,198,70
Agnes Tate,77522195509113364,Male,161,115
Agnes Tate,58372194701104008,Male,197,75
Agustin Orman,46347199311065582,Male,197,86
Agustin Salazar,82391196008255154,Female,200,96
Ahmed Wilson,36172198005156314,Female,188,99
Aileen Mckinnon,57565195707146121,Male,211,82
Aimee Hampton,19359197108189118,Female,217,104
Aimee Johnson,56165192006275064,Male,203,52
Aimee Mercado,61984200607155420,Female,212,113
Aimee Munday,86258195105038589,Male,180,117
Aimee Rose,11110198202236229,Female,178,84
Aimee Rose,79330199902039180,Male,217,52
Aisha Murray,24748195207103184,Male,175,84
Al Katayama,89577197409066926,Female,155,54
Al Labounty,94936194906013304,Male,173,104
Alaina Wheaton,74601200208254820,Male,218,104
Alaine Washington,90098198701104349,Male,161,93
Alaine Washington,65056201504243453,Male,204,47
Alan Allred,67893198802159242,Male,150,97
Alan Allred,80309200109017331,Male,150,65
Alan Anderson,16957201607103787,Male,162,108
Alan Clayton,51077193202064113,Male,157,45
Alan Cook,38881200009148300,Female,200,61
Alan Cranmer,37836194403292085,Female,164,108
Alan Creel,10452197102102661,Male,165,67
Alan Creel,75749194102229530,Male,152,114
Alan Cruz,99079198901013911,Male,155,50
Alan Cuzco,10477197108084314,Female,157,107
Alan Fraser,47773196804096339,Male,210,51
Alan Gabriel,35177198204028381,Male,178,114
Alan Godina,17020198811139349,Female,205,76
Alan Harrington,59040199009197339,Male,195,56
Alan Hill,20323193102238562,Male,152,96
Alan Jackson,61109200411168108,Male,218,56
Alan Jacobson,57816200802244851,Male,203,58
Alan Johnson,34266199206149972,Female,196,110
Alan Jones,27568200009221677,Male,187,99
Alan Jose,45941199206186782,Female,165,60
Alan Kelly,53593201801169685,Female,183,113
Alan Mejia,15584200102209484,Male,189,67
Alan Nelson,54520199807215023,Female,168,96
Alan Nelson,81861200111216225,Female,169,65
Alan Riggs,11445197112275085,Female,192,81
Alan Rosales,88801197610065137,Female,153,84
Alan Selmer,30351201203116608,Female,197,109
Alan Snider,93846201208179423,Female,150,45
Alan Solis,75980201103209215,Male,209,119
Alan Solis,73893196406275022,Female,155,93
Alan Stanley,43392194810268821,Male,183,47
Alan Stanley,20698198004142470,Male,201,67
Alan Turnbow,92460196404211474,Female,157,56
Alan Welch,58589200707165750,Male,166,105
Alan Wells,55513199411174572,Male,175,50
Alanna Sharp,29147198303142715,Male,169,86
Alayna Walker,91798194311261477,Female,197,95
Alba Armstrong,41064196907263537,Male,216,119
Albert Bailey,95196199812242895,Male,196,59
Albert Bundy,93762193004024907,Male,187,90
Albert Carter,13403195904261574,Male,186,53
Albert Collins,80572194402276272,Female,178,56
Albert Delgado,22765198707307872,Female,164,67
Albert Garcia,64364192808067256,Male,191,71
Albert Gibbon,88374200411267487,Female,188,80
Albert Harris,75768200210061973,Male,217,62
Albert Holliday,73871193909253081,Male,180,91
Albert Marcus,40133199008218471,Male,186,61
Albert Marcy,26725200612132805,Female,182,67
Albert Martin,15371197006307594,Male,200,80
Albert Martin,89032197605079445,Female,216,45
Albert Mcbean,51263199604288500,Female,202,83
Albert Mehling,26447198905227208,Male,156,107
Albert Papadopoulos,44686201102119084,Male,180,117
Albert Pham,73834199611089466,Female,171,63
Albert Pham,32832199706297682,Female,184,93
Albert Popovich,97171194702148676,Female,218,112
Albert Popovich,69349196901121648,Female,207,98
Albert Richter,38257202003188238,Female,175,83
Albert Rider,42767201011273280,Female,158,77
Albert Rider,95188201502037579,Male,182,46
Albert Rosales,10668193310312774,Female,175,52
Albert Rosales,94787201611069932,Male,212,79
Albert Sanchez,44637199708208208,Female,191,116
Albert Son,71905201509196747,Female,206,105
Albert Stanley,14549193803095794,Male,209,65
Albert Sutch,96329193207107087,Female,182,115
Albert Swelgart,67551198005122586,Female,174,50
Albert Turnbow,63104197809143448,Male,160,62
Albert Turnbow,55728195803082176,Male,177,51
Albert Vignola,73559199512304568,Male,199,113
Albert Warren,51374196010195838,Female,219,46
Albert White,20388192008172283,Female,178,85
Albert Winstead,45154199705088737,Female,163,97
Albert Wu,82750200912238415,Female,153,61
Albert Zerger,60680194102182726,Male,202,73
Albert Zerger,63762200803176517,Male,170,67
Alberta Eckhard,19340198711237354,Female,211,49
Alberta Flint,69702194401291015,Female,181,56
Alberta Hellinger,56231199001084635,Female,151,63
Alberta Hornung,18645193208139412,Male,199,87
Alberta Janssen,60059198703172415,Female,175,84
Alberta Meador,61648200701068066,Male,168,55
Alberta Meyer,25426199311064822,Male,153,83
Alberta Myers,45160195101188476,Female,177,99
Alberta Osborne,46519197109304553,Female,176,65
Alberta Ramirez,46984201906158702,Female,187,61
Alberta Reese,35442198612184245,Female,157,110
Albertina Grudem,70951195603312515,Male,189,63
Alberto Bright,14109194011122891,Female,157,104
Alberto Ertz,56276196102149358,Female,151,71
Alberto Hsu,71764196808142285,Male,154,112
Alberto Potter,82599196703275400,Female,153,119
Alberto Shows,86554197308081371,Female,200,59
Alda Chon,39158194812152298,Female,207,67
Alden Counts,42655196211251809,Male,182,112
Alden Counts,86043200109269684,Female,195,110
Alden Hobson,44687196006107838,Female,160,61
Aldo Nugent,15670199710021092,Male,211,113
Aldo Nugent,68343193401278378,Male,205,89
Aleisha Wietzel,43008198112198660,Female,153,66
Alejandra Chapman,14624198412259926,Male,152,60
Alejandro Ortega,28428198812138627,Female,190,110
Alena Fox,84510195805026471,Female,172,100
Alene Casale,37725194410093252,Male,203,75
Alene Casale,57077195604247665,Female,193,90
Aleshia Blodgett,65658196609074643,Male,170,49
Aleshia Blodgett,17033200306045268,Female,205,55
Alesia Cantu,18313193703246029,Male,182,62
Alesia Riley,23284196110103202,Male,154,85
Alethia Cox,40413200104105642,Female,157,67
Alethia Rollison,55394196610041385,Female,190,57
Alex Barnes,58134194911183183,Female,211,61
Alex Hill,99839193906278108,Male,192,59
Alex Howe,13896200005019975,Female,167,76
Alex Lindelof,49906196206064667,Female,190,108
Alex Murphy,36454193706112322,Female,208,108
Alex Rangel,18832193911283351,Female,201,70
Alex Ricks,52209201101307299,Female,190,105
Alex Rounds,26538192308286686,Female,160,84
Alex Ruivo,96615195906061816,Female,163,66
Alex Sanchez,11113198208078372,Male,173,108
Alex Sanchez,31543194308184641,Female,209,53
Alex Sauve,16171198608023917,Male,173,110
Alex Simitian,32667193711031295,Female,195,116
Alex Simitian,13534192108163241,Male,186,108
Alex Skutt,51777199104294088,Male,166,59
Alex Smith,45248195910187063,Male,213,114
Alex Taylor,88519195301213792,Male,206,67
Alex Taylor,42069194112153672,Female,210,84
Alexander Aleman,16020194309076013,Female,195,54
Alexander Aleman,36451195705147447,Female,177,88
Alexander Carswell,79109199908097264,Male,210,78
Alexander Carswell,48004194312191227,Female,218,55
Alexander Clark,17151194408096188,Male,183,61
Alexander Dillon,88847195409255268,Male,188,100
Alexander Dusek,66290195802027981,Female,184,47
Alexander Gayton,77002200103283702,Female,190,100
Alexander Green,24200201001225761,Male,150,119
Alexander Labranche,56186201706164394,Male,199,60
Alexander Martinez,91425200003104215,Female,214,113
Alexander Meyerson,88383197310146799,Female,178,98
Alexander Meyerson,63833195604035660,Female,150,73
Alexander Morgan,42625198906062529,Female,190,70
Alexander Pemberton,58140192608072867,Female,164,82
Alexander Riley,41209198401023995,Male,159,90
Alexander Sanders,73229197305301059,Male,178,77
Alexander Smith,67720194007017971,Male,213,60
Alexander Terry,67793200101189478,Male,162,53
Alexander Terry,63789198311125316,Male,183,57
Alexander Tierney,88386196703271052,Female,193,110
Alexander Wagner,79062197508308270,Female,218,76
Alexander Williams,58973194408257076,Male,201,49
Alexandra Hall,93954194409266976,Male,192,98
Alexandra Katt,49810193503285869,Male,180,92
Alexandra Mangham,51038201302133656,Male,150,52
Alexandra Palos,24877195602028953,Male,197,52
Alexandra Santana,74178200606063449,Female,180,74
Alexandra Williams,34460198909308710,Female,212,74
Alexandria Samuels,37354193010292047,Male,150,83
Alexis Abbott,71762198503191885,Female,188,68
Alexis Abbott,32890198407119910,Male,169,64
Alexis Baker,99498199511265149,Male,176,57
Alexis Ballard,78134201808137151,Male,176,108
Alexis Baum,40238195910092965,Male,165,75
Alexis Bisom,82830198810186318,Male,187,97
Alexis Glenn,33265201912165252,Female,184,77
Alexis Glenn,43948195806276029,Male,173,86
Alexis Johnson,41337194508054582,Female,193,65
Alexis Piccard,74049198504168741,Female,180,60
Alfonso Jensen,37343195206239592,Female,169,84
Alfred Ashley,76547192612202679,Female,157,56
Alfred Barnes,76866197907227647,Male,178,63
Alfred Brenner,69054197704018235,Female,176,82
Alfred Brenner,75671194201138193,Male,217,104
Alfred Burgess,24687195107197756,Female,198,55
Alfred Cardwell,72271200908231254,Female,197,79
Alfred Cardwell,62434193910087539,Male,171,116
Alfred Davis,78679194908038394,Female,210,67
Alfred Griffin,17563197709145042,Male,170,48
Alfred Mcgrath,18021198705178471,Male,162,88
Alfred Mcroberts,56689195508123781,Female,192,48
Alfred Montgomery,86626195308276293,Male,188,51
Alfred Potter,28652193410187660,Female,199,97
Alfred Poulin,25228194212279879,Male,195,86
Alfred Queen,52641201601081771,Male,216,73
Alfred Singer,27965199701252322,Male,167,68
Alfred Sonoski,24247199004199528,Female,211,118
Alfred Spivey,32481199505106811,Female,182,57
Alfred Spivey,25424199404068002,Male,214,87
Alfred Stevenson,25154199901036018,Male,180,85
Alfred Viola,84501195204011525,Female,193,51
Alfred Waldvogel,29521198607056054,Female,191,69
Alfred Young,25467193108159613,Male,195,101
Alfred Zamora,82438201202167867,Male,204,87
Alfredo Huelle,95566194604015377,Female,171,113
Alfredo Johnson,63205193105229948,Female,180,82
Alfredo Johnson,74156201708173739,Male,211,102
Alfredo Lobel,99522201909109510,Female,173,105
Alfredo Moore,93627192511199604,Female,164,107
Alice Agee,82313194504064085,Male,162,84
Alice Baker,87639194811058750,Male,167,90
Alice Bambeck,31063197205256840,Male,195,89
Alice Barrientos,57234197802087371,Male,191,75
Alice Cargle,82130198505126482,Female,185,73
Alice Crone,56268201001299446,Male,195,72
Alice Crone,63849198406092554,Male,163,89
Alice Dean,35677195607212708,Male,171,115
Alice Diaz,69795201104183439,Female,200,109
Alice Dukes,54074197706054829,Male,164,107
Alice Elmquist,71482195008077758,Male,214,56
Alice Fatula,46706193803261477,Male,175,67
Alice Foster,88685201002192204,Male,195,110
Alice Galinis,36357193112144088,Male,194,81
Alice Geddes,18130196910251296,Male,213,95
Alice Geddes,47678198710236302,Female,196,69
Alice Holland,14350195503212329,Female,178,96
Alice Hudson,58249193908213381,Female,204,98
Alice Hudson,41232200411062882,Male,192,92
Alice Jenkins,11752197210097262,Female,219,78
Alice Keith,87156194003043209,Male,199,53
Alice Kelley,53479196104139051,Male,201,66
Alice Laplante,45428193604191805,Female,163,76
Alice Lapuerta,91420194206194053,Male,199,95
Alice Lever,35962199005149661,Female,208,109
Alice Martinez,89701193008278125,Female,159,97
Alice Mcbride,13439194406136647,Female,185,110
Alice Midgett,29289195407196762,Male,163,75
Alice Mines,68846201101266448,Male,161,82
Alice Moreton,70352193010127875,Male,170,79
Alice Nest,16416194111258907,Female,217,50
Alice Nest,81326197602206301,Male,184,116
Alice Nixon,79815194808295994,Male,186,75
Alice Orr,33174199405214914,Female,195,69
Alice Perkins,22295194906061200,Female,169,118
Alice Peterson,17705200404184943,Male,211,67
Alice Reif,53362201508152286,Female,165,97
Alice Richert,98759192410234785,Female,199,94
Alice Spina,28990200708318033,Female,206,110
Alice Storey,95242196412147061,Male,182,103
Alice Weiss,11026200301137842,Female,205,57
Alice Wilson,62891198006063419,Male,206,66
Alicia Benitez,98291193009024813,Female,214,83
Alicia Bennett,93866193711119139,Female,194,110
Alicia Branch,57890196607199770,Male,219,64
Alicia Brooke,44233193301252666,Male,157,60
Alicia Brown,63322200107186288,Female,199,90
Alicia Coke,17136197410157102,Male,166,74
Alicia Drake,65623195108159727,Female,168,48
Alicia Harless,21436196607106432,Female,188,71
Alicia Harless,99477194106198060,Male,176,70
Alicia Harmon,86611195701096356,Male,202,85
Alicia Larsen,15400198207145854,Male,189,58
Alicia Murdoch,80718198309096118,Female,163,97
Alicia Starling,87868200712178202,Female,168,112
Alicia Stephenson,59943196603272194,Female,170,52
Alicia Tanner,36797194605293548,Female,164,108
Alicia Totman,75805199608114397,Female,211,60
Alicia Yates,19466194812286531,Female,186,98
Alina Carley,40824199405096283,Female,175,56
Alina Riles,16875201601207556,Female,186,93
Alisa Blakney,54684194212259106,Male,211,102
Alisa Sinclair,90559197208171229,Female,197,71
Alisa Stinser,47281199607094186,Male,197,84
Alisha Antoine,55428201203226234,Female,195,46
Alisha Antoine,80930201909112724,Male,169,64
Alisha Cleary,51635197705217707,Male,169,74
Alisha Issa,65589200601013935,Female,173,75
Alisha Meigs,19837195308077988,Female,189,95
Alishia Grochmal,74181197612073452,Female,168,101
Alison Davis,56250195006232771,Male,156,66
Alison Stewart,92787198509206352,Male,163,51
Alison Williams,88131197311066966,Male,155,74
Alison Woody,35204196405272287,Male,186,119
Alison Woody,87822194404146165,Male,159,94
Alissa Deshong,50886200310216175,Female,199,103
Alissa Metts,79628200405196447,Female,185,61
Alissa Walters,65880195403258495,Male,185,103
Alix Cox,57525196311111145,Male,209,116
Allan Allred,21923199606083895,Male,187,94
Allan Bennett,33474199111112211,Male,180,90
Allan Daley,56221201902064778,Female,218,61
Allan Lockard,82216200110044029,Male,189,46
Allan Sanford,69855193704224925,Male,177,104
Allan Tecuanhuey,40878197002094486,Female,193,69
Allen Ali,61755196205119221,Female,160,55
Allen Babcock,75145196207011492,Female,211,61
Allen Bedard,58622200301101348,Male,188,57
Allen Bedard,70229199905132508,Female,177,109
Allen Carpenter,41281199604082853,Female,178,54
Allen Crabb,81875196807105480,Female,204,89
Allen Craig,50718197307023875,Male,157,98
Allen Custodio,77040201812151081,Male,155,81
Allen Flood,94565201107187277,Female,175,94
Allen Gall,82922193103138957,Male,218,104
Allen Gustin,20097200405266868,Male,197,86
Allen Hall,63355197706158243,Male,210,111
Allen Hall,43084196611232920,Male,196,100
Allen Haywood,41520195810117662,Male,169,104
Allen Hess,33764201807188294,Male,184,67
Allen Maloney,43733194911133013,Female,202,71
Allen Moses,39502198404225422,Male,194,68
Allen Murray,54943200904159567,Female,163,47
Allen Newman,15224197506187517,Male,194,48
Allen Newman,57120195706027796,Male,205,46
Allen Ovellette,73459200512234218,Male,175,106
Allen Ovellette,19890193002218201,Male,174,112
Allen Plank,16988198301161355,Male,219,113
Allen Schneider,57023201010143953,Female,214,81
Allen Schneider,99924193506051365,Male,187,108
Allen Sears,38957193206024627,Female,162,54
Allen Stovall,70670197608024299,Male,219,63
Allen Stovall,49807197403036911,Male,219,92
Allen Sullivan,36151197105223899,Male,175,80
Allena Flahive,45780194712181234,Female,190,114
Allene Boggs,21550194907174364,Female,154,54
Allison Bickel,71258196603141401,Female,161,61
Allison Cozart,74636196012138716,Female,157,85
Allison Fu,91738200106181734,Female,215,52
Allison Fu,97128196305076882,Female,155,84
Allison Harris,43332195902223394,Female,170,115
Allison Kempson,66992200906309333,Male,169,71
Allison Lee,51564196405186047,Female,182,88
Allison Morehead,76388199811215013,Male,213,51
Allison Picard,28135195611115643,Male,178,81
Allison Qualls,90991201609221483,Female,154,116
Allison Stafford,82043200301173512,Female,186,62
Allison Wordlaw,64976196308259462,Male,170,51
Alma Andrews,26214199106241386,Male,187,75
Alma Blair,53374198501315588,Female,203,95
Alma Blair,86085199007052518,Female,208,84
Alma Bond,66563201205063486,Male,172,59
Alma Buerger,46986196810186491,Female,192,59
Alma Cooper,20106197205293142,Female,153,97
Alma Cuevas,26895195506169513,Male,170,109
Alma Dunn,11414201404198874,Female,186,81
Alma Dunn,52554197705209782,Female,193,116
Alma Frazer,77040196211258704,Male,160,119
Alma Jackson,34992198206117900,Male,202,92
Alma Lowe,51107199805185515,Female,211,52
Alma Muir,71514201908021499,Male,193,56
Alma Smith,79336198311055522,Female,205,59
Alonzo Washington,69633196911011593,Male,170,99
Alphonse Kenney,34943199112302172,Female,172,68
Alphonse Sturges,93796194403111352,Male,180,92
Alta Huskin,77560194609097466,Male,164,56
Alta Kerns,39736193512086209,Female,191,69
Alta Kerns,70285197011173480,Female,207,62
Alta Rodriguez,99207194802272444,Female,193,46
Althea Ponzi,23111199305295075,Male,193,88
Alton Bickerstaff,42220197512011999,Female,160,117
Alton Bickerstaff,12544193710033479,Male,205,53
Alton Keene,41357201302254370,Male,204,104
Alton Litzenberg,25015197904163812,Female,184,111
Alva England,28887197109237769,Female,179,71
Alva Henderson,23175193212275596,Male,187,46
Alvaro Hay,44825194711208611,Female,158,118
Alvaro Hay,59530201603014018,Female,213,110
Alvaro Simpson,35757196503153720,Female,164,115
Alvin Bolduc,49535194907191984,Female,181,82
Alvin Bono,72558201401029363,Male,183,58
Alvin Clark,37311193506177165,Female,219,65
Alvin Gonzalez,62272196707223645,Female,203,63
Alvin Gonzalez,16658195611129141,Male,216,115
Alvin Harmon,82886198909196400,Female,150,47
Alvin May,13443194911301536,Female,196,87
Alvin Mays,76281199906293986,Female,161,83
Alvin Mcgurk,74273196612183615,Male,179,107
Alvin Miceli,77613193808084823,Female,185,56
Alvin Miller,62688197402087269,Male,185,100
Alvin Skimehorn,44198196810031436,Female,162,102
Alvin Taylor,38391192809256192,Male,209,73
Alvin Tucker,33036195611263564,Female,187,53
Alvin Young,54709201502214872,Female,195,103
Alyce Mills,58289197211198976,Male,151,81
Alyssa Allain,64621195605198482,Male,162,115
Alyssa Blake,22128193611212859,Male,215,79
Alyssa Bonney,32977201209219665,Male,154,57
Alyssa Colburn,33298193304251630,Female,196,91
Alyssa Daniels,12937200508091475,Male,212,112
Alyssa Daniels,19439199103308086,Female,157,49
Alyssa Gagnon,62966201812167547,Female,152,71
Alyssa Groom,19112198902197521,Female,194,63
Alyssa Johnson,96635197704197347,Female,157,63
Alyssa Rosebrough,89376197207256743,Male,173,110
Alyssa Shumake,78016198812042777,Female,217,84
Amal Whitley,91561196602051614,Female,198,111
Amanda Aguilar,87832197405212732,Female,211,68
Amanda Akers,37021198203102260,Female,154,73
Amanda Alexander,14201198910137615,Male,151,108
Amanda Anderson,88679192709296546,Male,194,87
Amanda Anderson,82443200106185722,Male,183,106
Amanda Barajas,79192201310186778,Female,178,93
Amanda Belvins,94119199311206798,Male,208,70
Amanda Best,66186198002135577,Female,170,91
Amanda Best,67600195802249479,Male,210,62
Amanda Brinkman,10251199912067571,Male,162,48
Amanda Brinkman,59753193506055711,Female,192,78
Amanda Brown,31032197307145906,Male,153,111
Amanda Clausen,53807200708114948,Female,180,104
Amanda Cleary,84321199212187079,Male,196,98
Amanda Cohen,67477193704244486,Female,177,89
Amanda Coker,15458201010277209,Male,183,55
Amanda Ennenga,44036199510297626,Male,171,96
Amanda Garcia,22582197208305844,Male,165,45
Amanda Guy,30112196912176098,Male,178,96
Amanda Haas,43710193812045722,Male,151,84
Amanda Haas,44812195907277282,Female,173,84
Amanda Henderson,46336195202029843,Female,204,80
Amanda Hicks,54348201504263965,Female,155,96
Amanda Hicks,79571194204265630,Female,197,90
Amanda Isenhart,39644193405084446,Male,169,74
Amanda Johnson,88885201304242620,Female,194,53
Amanda Loesch,13079195604019837,Female,181,71
Amanda Mandell,52996195507317286,Male,202,47
Amanda Mcglinchey,38363198206153304,Female,199,62
Amanda Moore,36423196708083149,Male,203,74
Amanda Naone,85355194703247630,Male,179,119
Amanda Patterson,96120198812169759,Female,191,108
Amanda Rich,19964198806309071,Male,204,64
Amanda Sarvas,67332199905156304,Male,215,68
Amanda Sheston,14558193109134661,Male,206,100
Amanda Smith,37355198703256127,Female,156,70
Amanda Smith,79758200103037467,Male,185,99
Amanda Smith,71541197306074468,Male,168,100
Amanda Smith,74601195805115300,Male,210,113
Amanda Steinberg,72011193511076965,Male,178,76
Amanda Wells,60893198412108590,Male,155,70
Amanda Wells,84542201110031327,Female,188,111
Amanda Whitman,84437199609086096,Male,156,87
Amanda Wong,57094201811114167,Female,185,55
Amber Bonham,79188198810034670,Female,166,82
Amber Chavez,32662200301166411,Female,153,97
Amber Chavez,16767196802125309,Female,168,75
Amber Childs,58860197902145625,Female,179,87
Amber Devoe,40109195306096095,Male,169,79
Amber Devoe,51506194312319137,Male,165,75
Amber Gordon,27732195701235679,Female,208,114
Amber Hammond,91682195203255473,Female,176,51
Amber Harbin,35753200910115718,Male,211,70
Amber Harbin,63846194308193980,Male,192,100
Amber Johnston,41379193305078694,Male,198,95
Amber Lara,84692197107138104,Male,171,66
Amber Mallett,40182196401077670,Female,155,62
Amber Moore,21696198703212385,Female,200,89
Amber Patterson,27250198501258742,Male,205,74
Amber Porter,32288198908025858,Male,201,114
Amber Runion,22652201905258248,Female,180,62
Amber Sickler,69662194301189010,Female,210,48
Amber Wade,35890195211126775,Female,177,76
Amber Wade,66005200202116616,Female,218,101
